AT2024aehp&20241215 10:10&-3&P48/ZTF&{\em r}&$>19.23$\\ 
AT2024aehp&20241215 10:12&-3&P48/ZTF&{\em r}&$>19.09$\\ 
AT2024aehp&20241219 08:34&0&P48/ZTF&{\em r}&$19.59\pm0.16$\\ 
AT2024aehp&20241219 10:02&0&P48/ZTF&{\em g}&$19.02\pm0.09$\\ 
AT2024aehp&20241219 11:39&0&P48/ZTF&{\em i}&$19.31\pm0.17$\\ 
AT2024aehp&20241220 08:47&1&P48/ZTF&{\em g}&$19.23\pm0.07$\\ 
AT2024aehp&20241220 09:09&1&P48/ZTF&{\em r}&$19.46\pm0.08$\\ 
AT2024aehp&20241221 07:50&2&P48/ZTF&{\em i}&$19.6\pm0.14$\\ 
AT2024aehp&20241221 09:08&2&P48/ZTF&{\em g}&$19.52\pm0.1$\\ 
AT2024aehp&20241221 11:41&2&P48/ZTF&{\em r}&$20.26\pm0.25$\\ 
AT2024aehp&20241222 09:02&3&P48/ZTF&{\em i}&$>18.97$\\ 
AT2024aehp&20241222 09:44&3&P48/ZTF&{\em g}&$19.73\pm0.08$\\ 
AT2024aehp&20241222 11:45&3&P48/ZTF&{\em r}&$19.61\pm0.15$\\ 
AT2024aehp&20241223 11:31&3&P48/ZTF&{\em r}&$20.05\pm0.17$\\ 
AT2024aehp&20241224 08:26&4&P48/ZTF&{\em r}&$20.03\pm0.13$\\ 
AT2024aehp&20241224 09:38&4&P48/ZTF&{\em g}&$19.98\pm0.13$\\ 
AT2024aehp&20241227 09:04&7&P48/ZTF&{\em r}&$20.03\pm0.13$\\ 
AT2024aehp&20241227 09:40&7&P48/ZTF&{\em i}&$>18.68$\\ 
AT2024aehp&20241227 11:08&7&P48/ZTF&{\em g}&$>20.22$\\ 
AT2024aehp&20241229 10:32&9&P48/ZTF&{\em g}&$19.83\pm0.08$\\ 
AT2024aehp&20241229 11:10&9&P48/ZTF&{\em r}&$20.07\pm0.11$\\ 
AT2024aehp&20241229 12:34&9&P48/ZTF&{\em i}&$20.07\pm0.29$\\ 
AT2024aehp&20241231 01:51&10&SWIFT/UVOT&{\em uvw2}&$>21.02$\\ 
AT2024aehp&20241231 09:41&10&P60/SEDM&{\em g}&$19.95\pm0.08$\\ 
AT2024aehp&20241231 09:47&10&P60/SEDM&{\em r}&$20.09\pm0.06$\\ 
AT2024aehp&20241231 09:54&10&P60/SEDM&{\em i}&$20.2\pm0.08$\\ 
AT2024aehp&20241231 10:28&10&P48/ZTF&{\em g}&$19.94\pm0.1$\\ 
AT2024aehp&20241231 11:54&10&SWIFT/UVOT&{\em uvw1}&$20.67\pm0.21$\\ 
AT2024aehp&20241231 11:56&10&SWIFT/UVOT&{\em u}&$20.21\pm0.29$\\ 
AT2024aehp&20241231 11:57&10&SWIFT/UVOT&{\em b}&$>19.15$\\ 
AT2024aehp&20241231 12:00&10&SWIFT/UVOT&{\em uvw2}&$21.13\pm0.19$\\ 
AT2024aehp&20241231 12:06&10&SWIFT/UVOT&{\em uvm2}&$21.01\pm0.23$\\ 
AT2024aehp&20250101 06:46&11&P60/SEDM&{\em g}&$19.98\pm0.06$\\ 
