AT2023vth&20231014 02:54&-6&P48/ZTF&{\em g}&$>20.12$\\ 
AT2023vth&20231014 03:06&-6&P48/ZTF&{\em r}&$>20.15$\\ 
AT2023vth&20231014 03:26&-6&P48/ZTF&{\em r}&$>20.33$\\ 
AT2023vth&20231016 03:05&-4&P48/ZTF&{\em r}&$19.58\pm0.23$\\ 
AT2023vth&20231016 03:22&-4&P48/ZTF&{\em r}&$>19.91$\\ 
AT2023vth&20231018 02:46&-2&P48/ZTF&{\em r}&$17.38\pm0.02$\\ 
AT2023vth&20231020 03:08&0&P48/ZTF&{\em g}&$16.84\pm0.02$\\ 
AT2023vth&20231020 03:37&0&P48/ZTF&{\em r}&$17.15\pm0.02$\\ 
AT2023vth&20231022 02:28&2&P60/SEDM&{\em r}&$>16.78$\\ 
AT2023vth&20231022 02:51&2&P48/ZTF&{\em r}&$17.32\pm0.06$\\ 
AT2023vth&20231022 03:38&2&P48/ZTF&{\em g}&$17.03\pm0.03$\\ 
AT2023vth&20231025 03:14&5&P48/ZTF&{\em g}&$17.55\pm0.05$\\ 
AT2023vth&20231025 03:37&5&P48/ZTF&{\em g}&$>19.21$\\ 
AT2023vth&20231028 02:46&7&P48/ZTF&{\em g}&$>19.04$\\ 
AT2023vth&20231028 03:44&7&P48/ZTF&{\em r}&$>19.1$\\ 
AT2023vth&20231101 02:09&11&P48/ZTF&{\em r}&$19.36\pm0.22$\\ 
AT2023vth&20231101 02:15&11&P48/ZTF&{\em r}&$19.36\pm0.23$\\ 
AT2023vth&20231101 02:21&11&P48/ZTF&{\em r}&$19.39\pm0.31$\\ 
AT2023vth&20231101 02:26&11&P48/ZTF&{\em r}&$19.15\pm0.17$\\ 
AT2023vth&20231101 02:32&11&P48/ZTF&{\em r}&$19.4\pm0.27$\\ 
AT2023vth&20231101 02:44&11&P48/ZTF&{\em g}&$>19.52$\\ 
AT2023vth&20231101 02:45&11&P48/ZTF&{\em g}&$19.6\pm0.33$\\ 
AT2023vth&20231101 03:45&11&P48/ZTF&{\em r}&$>17.88$\\ 
AT2023vth&20231102 02:11&12&P48/ZTF&{\em r}&$19.76\pm0.25$\\ 
AT2023vth&20231102 02:17&12&P48/ZTF&{\em r}&$19.62\pm0.22$\\ 
AT2023vth&20231102 02:23&12&P48/ZTF&{\em r}&$19.7\pm0.22$\\ 
AT2023vth&20231102 02:28&12&P48/ZTF&{\em r}&$19.53\pm0.21$\\ 
AT2023vth&20231102 02:34&12&P48/ZTF&{\em r}&$19.4\pm0.2$\\ 
AT2023vth&20231103 02:10&13&P48/ZTF&{\em r}&$19.77\pm0.21$\\ 
AT2023vth&20231103 02:16&13&P48/ZTF&{\em r}&$>19.94$\\ 
AT2023vth&20231103 02:22&13&P48/ZTF&{\em r}&$>19.65$\\ 
AT2023vth&20231103 02:27&13&P48/ZTF&{\em r}&$19.97\pm0.34$\\ 
AT2023vth&20231103 02:33&13&P48/ZTF&{\em r}&$19.61\pm0.25$\\ 
AT2023vth&20231103 03:13&13&P48/ZTF&{\em g}&$>19.48$\\ 
AT2023vth&20231104 02:09&14&P48/ZTF&{\em r}&$20.13\pm0.31$\\ 
AT2023vth&20231104 02:15&14&P48/ZTF&{\em r}&$19.99\pm0.25$\\ 
AT2023vth&20231104 02:21&14&P48/ZTF&{\em r}&$>19.78$\\ 
AT2023vth&20231104 02:27&14&P48/ZTF&{\em r}&$19.57\pm0.19$\\ 
AT2023vth&20231104 02:32&14&P48/ZTF&{\em r}&$19.69\pm0.2$\\ 
AT2023vth&20231105 02:09&15&P48/ZTF&{\em r}&$19.98\pm0.32$\\ 
AT2023vth&20231105 02:14&15&P48/ZTF&{\em r}&$20.12\pm0.28$\\ 
AT2023vth&20231105 02:20&15&P48/ZTF&{\em r}&$19.98\pm0.26$\\ 
AT2023vth&20231105 02:26&15&P48/ZTF&{\em r}&$19.95\pm0.26$\\ 
AT2023vth&20231105 02:32&15&P48/ZTF&{\em r}&$19.92\pm0.33$\\ 
AT2023vth&20231105 02:45&15&P48/ZTF&{\em g}&$>19.53$\\ 
AT2023vth&20231105 03:08&15&P48/ZTF&{\em r}&$>19.8$\\ 
AT2023vth&20231106 02:09&16&P48/ZTF&{\em r}&$>20.01$\\ 
AT2023vth&20231106 02:14&16&P48/ZTF&{\em r}&$20.3\pm0.31$\\ 
AT2023vth&20231106 02:20&16&P48/ZTF&{\em r}&$20.25\pm0.27$\\ 
AT2023vth&20231106 02:26&16&P48/ZTF&{\em r}&$20.19\pm0.28$\\ 
AT2023vth&20231106 02:31&16&P48/ZTF&{\em r}&$20.17\pm0.29$\\ 
AT2023vth&20231107 02:05&17&P48/ZTF&{\em r}&$>20.14$\\ 
AT2023vth&20231107 02:08&17&P48/ZTF&{\em r}&$>20.01$\\ 
AT2023vth&20231107 02:11&17&P48/ZTF&{\em r}&$>19.92$\\ 
AT2023vth&20231107 02:14&17&P48/ZTF&{\em r}&$>19.91$\\ 
AT2023vth&20231107 02:16&17&P48/ZTF&{\em r}&$>20.08$\\ 
AT2023vth&20231107 02:20&17&P48/ZTF&{\em r}&$>19.93$\\ 
AT2023vth&20231107 02:22&17&P48/ZTF&{\em r}&$>20.19$\\ 
AT2023vth&20231107 02:25&17&P48/ZTF&{\em r}&$19.91\pm0.25$\\ 
AT2023vth&20231107 02:27&17&P48/ZTF&{\em r}&$>20.16$\\ 
AT2023vth&20231107 02:31&17&P48/ZTF&{\em r}&$>19.91$\\ 
AT2023vth&20231107 03:11&17&P48/ZTF&{\em r}&$>19.71$\\ 
AT2023vth&20231107 19:36&17&LT/IO:O&{\em g}&$>19.91$\\ 
AT2023vth&20231107 19:41&17&LT/IO:O&{\em r}&$>19.86$\\ 
AT2023vth&20231109 01:59&19&P60/SEDM&{\em g}&$>15.52$\\ 
AT2023vth&20231109 02:07&19&P60/SEDM&{\em i}&$>15.54$\\ 
AT2023vth&20231110 01:59&19&P60/SEDM&{\em g}&$>15.22$\\ 
AT2023vth&20231110 02:03&19&P60/SEDM&{\em r}&$>18.69$\\ 
AT2023vth&20231110 02:07&20&P60/SEDM&{\em i}&$>15.05$\\ 
